City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
299,Konstancin-Jeziorna,PL,52.0938,21.1176,55.22,89,75,23.02,broken clouds
300,Egvekinot,RU,66.3167,-179.1667,-2.72,69,0,6.04,clear sky
301,Faya,SA,18.3851,42.4509,59.11,86,18,6.26,few clouds
302,Muros,ES,42.7762,-9.0603,55.9,91,0,5.91,clear sky
303,Clyde River,CA,70.4692,-68.5914,8.83,85,90,12.66,light snow
304,Toowoomba,AU,-27.55,151.9667,66.25,89,11,2.66,few clouds
305,Veraval,IN,20.9,70.3667,77.36,73,100,10.42,overcast clouds
306,Saint-Denis,FR,48.9167,2.3333,50.76,87,90,1.01,overcast clouds
307,Kununurra,AU,-15.7667,128.7333,78.78,83,2,5.75,clear sky
308,Krasnoarmeyskiy,RU,47.0114,42.2072,39.25,92,100,5.17,overcast clouds
309,Ellensburg,US,46.9965,-120.5479,44.58,85,44,3.0,scattered clouds
310,Bontang,ID,0.1333,117.5,76.93,90,96,5.7,overcast clouds
311,East London,ZA,-33.0153,27.9116,61.63,80,23,4.79,light rain
312,Tura,IN,25.5198,90.2201,61.23,86,5,2.8,clear sky
313,Lasa,IT,46.6166,10.7002,47.28,61,25,4.97,scattered clouds
314,Phalodi,IN,27.1333,72.3667,66.92,57,2,7.25,clear sky
315,Laguna,US,38.421,-121.4238,68.5,81,75,1.99,haze
316,Taoudenni,ML,22.6783,-3.9836,77.86,29,35,9.4,scattered clouds
317,Alofi,NU,-19.0595,-169.9187,82.29,78,75,10.36,light rain
318,Mahebourg,MU,-20.4081,57.7,76.24,69,40,11.5,scattered clouds
319,Shieli,KZ,44.1667,66.75,23.5,64,27,6.51,scattered clouds
320,Sao Filipe,CV,14.8961,-24.4956,79.09,76,100,5.03,overcast clouds
321,Tubuala,PA,9.5167,-79.0333,84.33,76,18,8.48,few clouds
322,Gazanjyk,TM,39.2446,55.5154,40.15,49,22,7.34,few clouds
323,Bathsheba,BB,13.2167,-59.5167,84.81,65,20,13.8,few clouds
324,Bilibino,RU,68.0546,166.4372,-21.51,97,13,4.27,few clouds
325,Yaviza,PA,8.1537,-77.6931,82.06,91,59,1.34,broken clouds
326,Dalbandin,PK,28.8947,64.4101,48.76,35,0,6.91,clear sky
327,Porto Walter,BR,-8.2686,-72.7439,78.87,94,75,2.73,very heavy rain
328,Coahuayana,MX,18.7333,-103.6833,88.29,41,4,6.17,clear sky
329,Gingoog,PH,8.8243,125.1042,73.94,91,62,2.53,broken clouds
330,Huai Mek,TH,16.5898,103.2355,78.98,99,92,1.59,overcast clouds
331,Owando,CG,-0.4819,15.8999,70.99,92,55,1.83,broken clouds
332,Buala,SB,-8.145,159.5921,82.2,73,93,1.9,light rain
333,Bagdarin,RU,54.4333,113.6,8.62,94,100,2.75,overcast clouds
334,Guerrero Negro,MX,27.9769,-114.0611,70.92,63,95,10.13,overcast clouds
335,Port-Gentil,GA,-0.7193,8.7815,79.59,86,98,11.1,moderate rain
336,Ulaangom,MN,49.9811,92.0667,11.79,46,68,12.57,broken clouds
337,Mehamn,NO,71.0357,27.8492,37.58,100,75,6.91,light snow
338,Lubango,AO,-14.9172,13.4925,62.67,88,93,2.89,light rain
339,Wajir,KE,1.7471,40.0573,84.09,53,22,16.73,few clouds
